AMGOcov,AMROcov,BAEAcov,BARScov,BEWRcov,BHCOcov,BRCRcov,CBCHcov,CHSPcov,CORAcov,DEJUcov,EUSTcov,FOSPcov,GCKIcov,HAFLcov,HAWOcov,HOFIcov,HOSPcov,HOWRcov,MGWAcov,NOCRcov,NOFLcov,NRWScov,OCWAcov,OSFLcov,PISIcov,PIWOcov,PSFLcov,PUFIcov,RBNUcov,RUHUcov,RWBLcov,SAVScov,SOSPcov,SPTOcov,SWTHcov,TOWAcov,TREScov,VATHcov,VGSWcov,WAVIcov,WCSPcov,WETAcov,WIWAcov,WIWRcov,YRWAcov,YWARcov
-1.684196577,-13.51018156,1.557357479,5.151463148,-0.245128006,4.494961727,-4.163353312,-7.689640211,-4.139651496,-2.625706122,-4.930716661,3.225178291,5.457018696,-2.175747279,-8.729073902,-1.79417356,2.318928171,8.419186123,-0.383083316,-3.225940851,2.838421918,-8.249623872,1.728869563,-13.50179141,5.089787865,-10.3924318,-3.167815179,-11.75237186,-11.93416272,-6.828763173,1.951434408,6.428740339,1.663628071,1.012951189,-5.223338576,-1.861030414,-7.646839569,-0.378501423,-2.864966342,4.405961114,-0.791967465,2.301637069,-0.045974109,-3.831462653,-0.095259443,-1.291188868,-1.092245471
-1.681712864,-14.18080515,1.564162511,5.209818954,-0.274762045,4.2733111,-4.443538815,-7.899246188,-4.177179682,-2.687199127,-5.016213741,3.287658377,5.457018696,-2.329648984,-8.951870633,-1.78424798,2.243844042,8.413716567,-0.379171383,-3.159531332,2.834116125,-8.268118596,1.749980832,-14.19639707,5.080047328,-10.32326709,-3.338017265,-12.14482814,-12.40664394,-7.235795196,1.981182792,6.824312937,1.615864706,1.025787748,-5.222827106,-1.851837222,-7.737166258,-0.411855331,-2.868477489,4.643425734,-0.783328744,2.418053705,-0.053062916,-3.831492706,-0.10487721,-1.376281928,-1.003040671
-1.935036984,-13.95977246,1.580288036,4.921681415,-1.065442731,-0.467124631,-4.836063812,-8.274151556,-5.614247272,-2.629738373,-3.940190569,3.055304044,4.760334545,-2.643361296,-9.17573608,-1.31513368,2.2858996,8.421467748,-0.518886837,-3.21628849,2.411490089,-8.545771179,1.93429356,-14.7038246,5.295384922,-9.959442521,-3.464233025,-11.93046747,-12.29233889,-7.486159143,1.895708561,7.280976531,1.269439898,1.169232416,-4.544626809,-1.682524511,-7.605019503,-0.909226838,-2.602577299,5.062729781,-0.117284098,2.564888484,-0.11577532,-3.546815099,-0.551070763,-1.76716407,-0.818647111
-1.06030774,-10.28530829,0.841345848,-2.914990383,-1.482321783,-6.790000617,-0.97623019,-5.567921561,-1.323393336,-2.422043632,-2.391304702,0.984968617,5.346284364,-1.403096646,-6.112825507,-2.443909626,-1.793202263,0.900394092,3.772155829,-3.87989326,0.279312309,-10.85447641,0.918286281,-8.034276231,5.621740196,-6.921572212,-0.943610944,-8.741663232,-0.790772673,-2.049084098,2.433629486,2.087994577,-0.499061803,0.833659711,-5.480997372,-0.028851533,-6.511608814,2.640335886,-1.798574766,1.122821157,0.144813119,1.032055973,-0.324704664,-1.133822409,0.197375621,-0.718728479,0.983771381
-1.075323603,-6.473199659,0.95460961,-1.400063901,-1.331602679,-5.98565721,0.475812933,-4.52599531,-1.282968996,-2.324710343,-2.117108576,1.028008452,5.346284364,-0.544698946,-4.958195952,-2.327842836,-2.247484762,1.914522761,3.740242271,-3.98710943,0.563496655,-10.85430809,0.931734271,-4.67643475,5.529321424,-7.653858776,-0.015409323,-6.486642914,1.084930029,0.060332857,2.348407355,-0.237776734,-0.132724527,0.815381492,-5.48220655,-0.204026975,-6.075450009,2.124872751,-1.998447293,0.261601525,0.158398791,0.416323141,-0.30900342,-0.46374153,0.308855224,-0.278085073,0.902424231
-1.091831479,-9.494465825,1.110759228,6.366839448,-1.584482591,-3.645855476,-1.852309417,-5.83797005,-2.733102082,-1.000977871,-2.64879859,1.321894721,5.346284364,-1.400731534,-6.31800137,-2.367805487,-1.140483195,2.334114996,2.744640763,-3.893150768,0.673878552,-10.92643776,1.04807192,-8.039956292,5.558343122,-8.192959092,-1.140266745,-8.497067077,-2.194859705,-2.020819564,3.12692912,5.738033692,-0.129758716,2.545197212,-5.014202897,-0.346145618,-6.586427489,2.295803497,-2.102445326,1.787845119,0.285289176,1.124392032,-0.293894959,-0.921758058,-0.11086197,-0.840810892,0.844284841
-1.086597074,-12.72644481,1.022200246,27.88343829,-1.701659183,7.5583179,-6.162970774,-6.873069571,-6.361460574,3.630260507,-3.006488742,0.619730394,5.334515404,-2.578517731,-7.198533762,-2.398057295,0.179109024,2.459884319,-0.364017569,-3.753735819,0.64320858,-10.91311363,1.21163486,-10.52457269,5.707045334,-8.097840658,-2.585409157,-10.84849818,-6.831625262,-3.834922577,5.76502052,20.4618722,-0.446183495,8.288647618,-3.328670856,-0.38723281,-6.760624734,5.514653914,-2.01976771,3.323961211,0.237102912,2.030585421,-0.283143617,-0.906319773,-1.648843124,-1.453456134,0.829302447
-1.069076123,-10.42951829,0.854554125,17.21494119,-1.529840626,3.81437356,-3.25801288,-5.395483682,-2.580412394,1.837824814,-2.384406344,0.866077535,5.334515404,-1.554461588,-5.657856265,-2.332198089,-1.100647399,1.717119329,2.592094429,-3.975808245,0.472161254,-10.79280943,1.029502472,-8.072929542,5.710541174,-7.589577377,-1.251700168,-8.585536723,-2.897407884,-1.4563492,4.267349163,12.62672405,-0.426401873,5.428095472,-4.002638195,-0.227525757,-6.190640512,5.06645537,-1.928165005,1.59009784,0.156497236,1.19359894,-0.29918497,-0.440773059,-0.521809329,-0.83326081,1.425793986
-1.207891087,-7.516033717,1.513028459,23.86245894,-1.567788242,6.728778676,-3.1082304,-5.361114388,-3.43858788,2.110613792,-2.113475427,1.905528231,5.212045388,-0.775439386,-5.496234787,-1.752258169,1.192856915,0.737177264,1.530251398,-4.734510755,0.691475968,-9.976941175,1.618804868,-6.520285554,6.362314973,-10.62952369,-1.174883588,-7.230324096,-4.044149694,-0.769039655,3.713833888,13.48328903,-0.767285789,5.642707431,-4.089811062,-1.295137082,-6.294692709,2.378904103,-3.034784566,2.778010889,0.292294219,1.036729823,-0.189932407,-1.195624754,-0.258962002,-0.793594291,0.623002335
-1.188129095,-8.422031001,1.508974157,40.5968687,-1.40987503,15.43551528,-5.149079053,-4.701342978,-3.334306521,5.603288102,-2.28071485,1.872070785,5.212045388,-1.136824222,-4.275622092,-1.948379726,1.135718199,2.297174939,1.040208124,-4.879794248,0.939292308,-10.32976521,1.463807818,-7.612262182,6.124082262,-10.84018655,-1.536645522,-6.493534571,-7.416778714,-0.659343481,5.289660463,22.06182102,-0.364225129,9.236276397,-2.766693228,-1.197185327,-5.644281778,4.395396192,-3.05810801,3.346231608,0.226362462,1.238664956,-0.211597315,-0.338670116,-0.412941091,-0.853770691,1.292495829
-1.626888875,-14.22397386,1.535980574,5.253311199,-0.943915144,1.740372468,-4.615936584,-8.222730604,-5.623732364,-2.696901062,-2.536358505,2.28074109,5.457018696,-2.839616088,-9.088912109,-2.03649727,0.820299195,8.171538942,-0.344154078,-3.148726143,2.026888079,-12.42236938,1.518392797,-14.60056791,4.902468888,-10.74006327,-3.367333511,-12.45577175,-12.62114972,-7.486159143,2.793839722,6.781425962,1.435061596,1.573746659,-5.229107765,-1.121335426,-7.873895895,-0.284061644,-2.995356703,4.81277245,-0.408318042,2.492725633,-0.327836481,-3.026643166,-0.479662417,-1.65022852,-0.531018623
-1.636750063,-14.23753618,1.530343149,5.158412076,-0.583803607,5.283694859,-4.615930458,-8.106444375,-4.8132122,-2.646000505,-2.540868449,2.327632024,5.457018696,-2.821608353,-9.088912109,-1.824963777,0.718598285,7.994828691,-0.37176795,-3.203731736,2.012727538,-12.00176682,1.53460981,-14.59069041,4.968181753,-9.937960417,-3.361772131,-12.45685158,-12.65623207,-7.486159143,2.508786609,6.760293496,1.426362791,1.373744871,-5.230699486,-1.17734587,-7.850554437,-0.249043401,-2.919522781,4.911309317,-0.673831341,2.494949264,-0.324332128,-2.931806442,-0.283869642,-1.521324154,-0.466815115
-1.679806225,-12.86986267,1.517892136,1.87968654,-0.281752044,9.077132858,-4.033388633,-7.581548285,-4.081450786,-2.539479103,-2.117552447,1.923746703,5.457018696,-2.459266512,-8.62571001,-1.279534069,1.067962924,3.492675832,-0.780329358,-3.318269556,1.146133345,-10.77208234,1.665645254,-12.42129435,5.829455443,-7.845060968,-3.018499501,-11.61832445,-10.34299189,-6.639925511,1.957726314,6.009294659,0.205655494,1.082533921,-5.230397327,-1.314722033,-7.58699169,-0.19472053,-2.798532262,5.119896135,-0.869796892,2.309121543,-0.29009483,-2.954202412,-0.104186622,-1.245001974,-0.652025768
-1.670676541,-12.31946816,1.521532749,1.707989193,0.32721558,14.57746151,-3.809654014,-7.235673125,-2.786314859,-2.568910846,-2.01566082,1.807374063,5.457018696,-2.346797419,-8.447801655,-1.296332567,1.102521469,3.298167268,-0.782520196,-3.286874363,1.094895981,-10.40545432,1.64126822,-11.82786368,5.8241764,-6.79326879,-2.881199735,-11.31654995,-9.881707383,-6.314901006,1.714290732,5.669503024,0.122146264,0.854900088,-5.229120518,-1.26258878,-7.549587549,-0.221847346,-2.708684699,4.902283998,-1.299676563,2.218594157,-0.292691621,-2.976564719,0.206238243,-0.953779834,-0.733880237
-0.036088727,-6.795950171,0.679566964,12.26873768,0.580511176,12.48183518,-2.588357554,-1.581510022,2.629608829,-1.281698544,-2.77265708,1.069017254,2.442063521,-1.758256276,-0.872155572,0.36142109,4.350179941,8.813484539,0.022127006,-5.544284748,0.806700974,2.41561572,1.979743594,-6.912133671,7.492338789,-0.654294486,-1.573821742,-1.95431521,-6.444360788,-2.681106954,-1.336360063,5.660021244,7.837373596,-0.574697937,-1.476462837,-1.328427886,-2.145298311,3.460208658,0.813523823,1.485884624,-0.273125887,1.428615729,0.039190858,-3.005301621,0.472756197,-0.413974862,-1.873748428
-1.228738547,4.949882371,0.704624489,1.271255844,0.973598224,0.767026913,2.343511486,6.049567612,1.942728101,-1.868517083,-1.36167096,0.218266852,2.547202319,1.071716052,9.868200139,0.35158811,1.684358747,8.683676479,0.014169913,-2.311923857,1.075769714,-0.811036478,2.329832305,5.039407995,6.777395772,-3.525316741,1.664449365,10.85121954,-5.076991908,4.540051147,-1.107493409,-2.578601024,2.812343308,-0.44623457,-0.709614986,-1.458010417,2.753102085,3.108208121,0.093041405,-0.945719562,0.337467318,-0.768596502,0.047401635,-1.254801241,1.545926921,1.243413331,-1.61282086
-0.055934062,10.22715285,0.654958874,15.90814329,0.007754671,-0.263512016,4.189779763,5.539261715,0.938693884,-0.29962647,-1.235323628,-0.402058436,2.442063521,1.991456205,8.631642617,-0.045670732,0.860513701,9.07584343,0.09845565,-5.674427219,0.892879915,1.104522264,1.73622859,10.25904096,7.294004705,-3.870303769,3.047800412,11.36911831,2.179172979,7.912511691,-0.015414391,-3.655424411,7.692021201,1.000564346,-0.690461062,-1.171983587,1.897199365,3.88048001,0.285998517,-3.173140831,0.930963152,-1.597832239,0.037156541,0.635215499,0.461223785,1.413360569,-1.75475393
-1.212437144,9.029843754,0.819268733,2.45280224,0.558819754,-6.278111331,3.995063319,8.105280936,1.527935348,-1.192086905,-1.476706172,-0.275907922,2.570531718,1.581727298,12.98475644,-0.002847611,0.984364172,8.713350582,-0.004868361,-5.64242849,0.810097004,-1.972432885,1.743463764,8.657405212,6.663824729,-3.570566,2.624587599,15.26872158,-3.753073351,6.692654311,-0.787350711,-4.647805318,3.238040882,-0.165070115,-0.245433056,-1.147951854,4.235944318,2.663594536,0.34770099,-1.478560996,1.034102553,-1.435295211,0.017599388,-0.229962469,1.919918565,1.536875665,-1.87123177
-1.191924342,8.41256045,0.66412443,2.39842557,0.41400378,-5.931388097,3.690858951,7.898907459,1.591115837,-0.117461987,-1.402813548,-0.291474053,2.442063521,1.397026209,12.66278496,0.171444226,1.245171397,8.713498344,-0.013388901,-6.800651963,0.749162716,-1.396989627,1.261952223,8.018493518,6.739422908,-3.259201288,2.454773536,14.80179539,-4.652814856,6.329437801,-0.976764656,-4.114067628,4.173002026,-0.239386276,-0.373887206,-1.101693206,4.185231858,3.558656782,0.550636994,-1.359764594,0.975112949,-1.31051087,0.023323295,-0.361263074,1.866470208,1.365401462,-1.949103314
-1.186798919,1.140752368,1.117253759,4.364763614,0.255542774,-5.610207577,0.622283348,4.661095668,0.859569919,-2.09843459,-2.300930324,0.738892684,2.817579292,-0.109500481,8.893543221,-0.116621518,2.515477905,8.655784784,-0.138772638,-4.667151492,0.905640525,-2.886880122,2.243334778,0.361028841,6.734352889,-4.076920545,0.386455169,9.520954713,-8.6168955,1.661971024,-0.659085279,0.586394407,2.743075759,-0.089833334,-0.231247375,-1.365144971,2.397435674,1.29723791,-0.002720902,1.297358358,1.014866825,-0.007240745,0.007380525,-1.718732425,1.780073469,0.491170861,-1.745025171
2.014056181,-9.982637717,1.26754443,35.96318383,-1.450091021,6.496301926,-4.492778305,-6.040942925,0.556366723,-1.937234994,-3.053148217,2.133963914,2.942165817,-2.770027315,-6.25988062,0.148320033,4.259596947,9.16553588,-0.314894076,-1.20655423,0.745039298,2.780636507,2.369970862,-11.44297234,8.647564109,-3.175223109,-2.736733218,-6.938443287,-5.589760969,-5.408202124,-0.039103083,8.468825945,15.33831516,0.484026222,-1.387553492,-1.288263782,-4.879547022,0.805560963,0.260988708,3.615007661,1.043786621,2.251910864,-0.028496803,-1.444620811,-0.739400616,-1.723037236,-1.218743486
2.605168665,-13.29740356,1.198419973,41.80146522,-1.888886896,8.943655026,-6.835111478,-8.374346235,0.454593847,-1.142756802,-1.183776936,2.480725122,3.966255593,-3.513464244,-9.477314493,-0.58971936,4.598271646,9.249663155,-0.338243212,22.24495195,0.722413191,-1.877327679,2.323160699,-14.88668739,8.988787414,-3.100281851,-3.634792117,-10.08222268,-6.942924748,-7.462001241,1.161834356,10.62372126,18.3002037,1.129795685,0.668551225,-0.187248929,-6.781114983,1.329396888,0.207291538,4.436080811,0.913775093,2.877263686,-0.053548034,-1.40125823,-1.208340205,-2.340125665,0.20411706
-1.413656744,2.249805337,1.415611127,5.048679288,0.149692588,-4.666507906,0.917349243,4.046029896,-0.012624831,-2.175703209,-1.78288596,0.996051685,3.146993407,-0.023153577,8.01912036,0.377686781,1.097084119,8.621973889,-0.36242656,-4.585062801,0.852706363,-5.233728571,2.327918506,0.710188264,6.6579984,-4.026934651,0.568553673,9.373824218,-7.828237418,1.90576533,-0.617194339,-0.091995512,1.935882107,0.023023168,-0.300393179,-1.469056859,1.87137775,-0.02529739,-0.306876302,2.082735789,1.103103619,-0.107779313,-0.085005694,-0.514263836,1.838657583,0.501808263,-1.161090076
-1.474190328,12.06174378,1.192417579,3.99588902,0.636004668,-4.994086681,5.061305231,8.959590019,1.340682227,-0.771865181,-0.735875101,0.025475927,3.040917354,2.10914218,14.22949319,0.308809417,-0.807094566,8.691373963,-0.258527048,-5.794594812,0.863980443,-4.651567356,1.499362464,10.62902093,6.530290743,-4.069611653,3.267243709,17.70345818,-4.448105917,7.90797209,-0.606131061,-6.900656425,3.030580768,-0.033359928,-0.128617129,-1.257762191,4.612583506,1.109415929,-0.294219694,-0.626402192,1.068249547,-1.851760969,-0.08265678,1.373992753,2.458420376,1.821584105,-1.3344941
-1.363910674,13.00265695,0.855378048,2.080942987,0.654945711,-5.42947255,5.423659032,9.493727983,1.557944671,-0.566352648,-0.647291588,-0.479601551,2.442063521,2.337631025,14.65024395,0.488073321,-0.141799865,8.716994999,-0.128440634,-6.318417699,0.713162433,-2.207039656,1.537679062,12.14079538,6.691267999,-3.4053721,3.605260405,18.03779596,-2.282528524,8.838765628,-1.030832778,-7.068805471,3.190504468,-0.234520995,-0.285361115,-1.209557073,5.014383314,2.583691815,0.298483684,-1.984791583,1.068877707,-2.041195963,-0.023291115,0.910220338,2.105764747,1.950583487,-1.677156856
0.478303704,-6.976412737,0.954681183,19.61286933,-0.729234729,-0.256091821,-3.030641847,-1.006148522,1.129615706,-0.793220021,-3.187485228,1.376211406,2.4754871,-2.111600968,1.029439117,-0.172186032,4.087979806,8.894628687,-0.146298397,-6.071046509,0.714438872,1.736738932,1.583174613,-8.088660731,7.628276045,-3.098157715,-1.855872471,0.18287708,-9.88324374,-3.373221277,-0.432532073,6.371166874,10.06990256,0.121912796,-1.167339397,-1.13798379,-1.201529486,2.357038436,0.473208836,2.88015657,0.934610596,1.589268715,-1.53795E-05,-2.275388538,0.538500156,-0.992225926,-1.759370906
-1.380936577,11.58650996,0.796344374,1.950275062,0.564056969,-5.188898283,4.505652661,9.090205616,1.58424023,-0.110632987,-0.02936005,-0.342830824,2.799920163,2.040563494,14.18934489,0.303236485,0.417730678,8.705680141,-0.150760957,2.057707174,0.718580101,-4.10813754,1.504061056,10.75467404,6.758039556,-3.399656716,3.214055705,17.49708523,-3.632455954,7.996739466,-0.812972682,-6.060572088,3.563339893,-0.112377423,0.552049921,-0.870649403,4.754492434,2.953711295,0.371988833,-1.564744022,1.031303444,-1.800019906,-0.007965112,0.541710279,2.114991352,1.737627904,-1.305159251
-1.370662989,15.38765065,0.930510177,2.055104446,0.800463526,-5.32622775,6.430256389,10.20085328,1.532440401,-1.285186613,-0.462234348,-0.612411017,2.442063521,2.90483083,15.45066581,0.609985967,-0.662610302,8.736644984,-0.134435327,-5.54295013,0.747784902,-2.12093948,1.938610543,14.56990582,6.717748977,-3.524609255,4.259979695,19.42648924,0.019620841,10.30107312,-1.060434988,-8.694342067,2.636984529,-0.241419018,-0.269024449,-1.315956993,5.329172516,2.080883247,0.230177372,-2.666030756,1.143559838,-2.459971591,-0.018551085,1.424115434,2.085247652,2.300054588,-1.612910131
-1.383312005,10.84741003,0.998256831,2.062841112,0.868245486,-3.306977585,3.879858177,8.536468387,1.660923868,-1.930187878,0.418951913,-0.13579082,3.136655166,1.985803096,13.40745012,0.091300372,0.281803825,8.698101661,-0.167144425,12.3638164,0.819647275,-5.670790737,2.575771714,10.02386621,6.739424526,-3.51520948,3.033266394,16.7469765,-2.643334976,7.557212599,-0.449719673,-5.786442151,2.175939269,0.031668577,1.171656314,-0.716356846,4.205183353,1.728603026,0.162106059,-1.357046418,0.970059214,-1.666035182,-0.009919218,0.540440196,2.040690791,1.810858864,-0.649352875
-1.430279163,6.088323973,1.016208142,2.445190426,1.62279754,11.69368193,1.614845232,3.85290099,1.959560785,-2.194556519,0.958547499,0.493363183,4.202841228,1.227631478,5.959278166,-0.056675562,0.8184025,8.641194096,-0.334341306,27.51112125,1.276874206,-8.323543234,2.960666081,5.643329978,6.442106885,-3.071004489,1.8611155,8.624335441,-0.748181451,4.888663577,-0.173275774,-3.228571092,2.011762626,0.045010643,0.286014725,-0.378548382,0.11113278,1.68871909,0.005627002,-0.868562267,-0.296981301,-0.864901131,-0.005193318,-0.215188631,1.477199291,1.511753778,0.216729125
-1.528332354,-0.243061619,0.977239621,1.427871597,2.77902872,33.24448793,-0.29437416,-2.552447398,2.840731481,-2.325496285,-0.830675396,1.157758387,3.951929589,0.110497787,-4.396729145,0.612680088,1.585273658,8.568872411,-0.358487061,14.50524571,1.650834246,-3.474487041,2.790092926,-0.366202074,6.165040536,-0.566399774,0.289478039,-3.308642657,2.334298398,1.266124977,-1.148935916,0.02099248,1.902201262,-0.721828996,-3.17573371,-1.145633051,-5.001982002,1.935307484,0.01809297,-0.468030117,-2.166850902,0.281365883,-0.002933045,-1.53269479,0.635848344,1.126173472,-0.409727159
-1.372207937,5.270508536,1.050002963,1.491019426,1.353786306,10.54810414,2.151003231,2.15608888,1.41452417,-2.383467884,-2.015354034,0.25369946,2.442063521,0.691892195,3.391346101,0.676327431,1.693994079,8.651377402,-0.15845237,-4.354779218,0.805724396,-0.140300032,2.514908891,4.486365533,6.669545759,-0.310776004,1.517191028,5.754842469,2.628768209,4.197417986,-1.449733546,-1.939425144,1.79674844,-0.583433149,-1.671834505,-1.403483932,-0.478698752,1.458253306,0.760680927,-1.191031003,-0.086169892,-0.565185338,0.017619085,-0.855244814,0.944298366,1.227327805,-1.705866422
-1.205893971,-4.35248852,1.470113336,-7.067291356,-1.441748754,-9.197845264,0.745515683,-3.70707764,-1.734772263,-2.537948301,-2.170615705,0.317528057,5.380687783,-0.226376334,-3.484743499,-2.896986515,-3.282395009,-11.47768857,2.283333901,-3.68074091,-1.882600225,-8.928483277,0.66917167,-1.804730926,7.224738855,-4.053039341,0.195266692,-4.14023333,2.291906423,0.387114988,3.441903301,-1.482113362,-4.165513616,1.346507362,-5.20581241,0.10739561,-5.96957974,-0.146539787,-3.01967098,2.841877258,0.285160089,0.463462423,-0.344281533,0.328109922,0.753251671,-0.147268508,1.047603318
-1.138614636,-8.156728251,1.416478483,-8.170779403,-1.613703645,-9.684268617,-1.072782635,-5.248090007,-2.978777247,-2.625988697,-2.426908552,0.13619302,5.349339889,-1.18619387,-5.307563065,-2.995705771,-2.633639814,-13.17677028,1.354609754,-3.77174193,-2.254762364,-8.787522064,0.679985792,-5.122474442,7.447769335,-3.43891451,-0.963726374,-7.175239103,-0.012318012,-2.210737705,3.74175493,1.478355825,-4.727656348,1.607570533,-5.315054787,0.211311283,-6.755690673,0.113777989,-3.000975366,4.07554839,0.200009635,1.235522665,-0.361584124,-0.523408862,0.30741318,-0.695220684,0.844972757
