OCODES,TIME,DATE_JUL
AB,-0.639963037,1.273941679
AB,-0.457533868,-0.258748729
AB,-0.396724145,-0.66208831
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
AB,-0.639963037,1.687364749
AB,-0.457533868,0.084089915
AB,-0.396724145,-0.410001072
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.880280038,-0.712505757
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-1.065631098,0.437012048
PA,-0.396724145,-1.257014192
AB,0.272182808,1.072271888
AB,0.393802254,0.537846943
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-1.065631098,0.598347881
PA,-0.396724145,-1.095678359
AB,0.272182808,1.233607721
AB,0.393802254,0.729433244
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-1.065631098,0.739516734
PA,-0.396724145,-0.944426016
AB,0.272182808,1.384860063
AB,0.393802254,0.870602098
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.396724145,0.850435119
PA,-1.065631098,1.04202142
PA,-0.396724145,-0.621754352
AB,0.272182808,1.606696833
AB,0.393802254,1.072271888
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,-0.396724145,1.102522357
PA,-0.396724145,1.263858189
PA,-1.065631098,0.910936056
PA,-0.396724145,-0.773006695
AB,0.272182808,1.757949176
AB,0.393802254,1.233607721
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,1.184328653,-1.821689605
AB,-0.579153314,-1.761188668
AB,-0.518343591,0.921019545
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
LS,1.184328653,-1.72085471
AB,-0.579153314,-1.972941948
AB,-0.518343591,1.142856315
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.393802254,0.981520482
AB,0.454611977,0.61851486
AB,0.5154217,0.628598349
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.393802254,1.203357252
AB,0.454611977,0.850435119
AB,0.5154217,0.779850692
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,0.393802254,0.981520482
AB,0.454611977,0.144590852
AB,0.5154217,1.364693084
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
KJ,0.393802254,1.163023294
AB,0.454611977,-0.097412897
AB,0.5154217,1.163023294
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.028943916,0.800017671
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.028943916,1.021854441
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
PA,0.028943916,1.183190273
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
