UTM_EZ,UTM_NZ,UTM_E_UTM_NZ,UTM_E2Z,UTM_N2Z,near_roadZ,near_frshwZ,near_saltwZ,URB_1KMZ,RUR_1KMZ,FOR1_1KMZ,FOR2_1KMZ,HRB_1KMZ,SAV_1KMZ,SHR_1KMZ,WET_1KMZ,URB_100Z,RUR_100Z,FOR1_100Z,FOR2_100Z,HRB_100Z,SAV_100Z,SHR_100Z,WET_100Z,Near_UrbZ,CR_CL0Z,CR_CL_2Z,CR_CL_3Z,BRDLFZ,OF_100Z,OF_1KZ,Is_sizeZ,rd_up_100Z,rd_p_100Z,rd_up_1kZ,rd_p_1kZ,EOSD_DZ,EOSD_OZ,EOSD_SZ,CR_CLZ
0.86040683,0.030077894,0.936155299,0.909220813,0.027411063,0.59312603,0.150366098,-0.515868664,-0.279998092,-0.667074524,-1.37413116,-0.880677719,-0.468591018,-0.750020055,-0.338738833,-0.462672978,-0.160102456,-0.490026638,-1.076345442,-0.614448448,-0.204427563,0.920860369,-0.173842912,-0.236196717,-0.580566484,0.273141617,-1.50870262,-0.5652902,-0.443058995,-0.903242261,-1.128184139,-0.49425445,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-1.541001781,0.264539832,-1.554866135
0.855361222,0.034327058,0.931193125,0.903619916,0.031634731,0.608964245,0.214501317,-0.522444192,-0.279998092,-0.667074524,-1.37413116,-0.880677719,-0.468591018,-0.750020055,-0.338738833,-0.462672978,-0.160102456,-0.490026638,-1.076345442,-0.614448448,-0.204427563,0.904491311,-0.173842912,-0.236196717,-0.578318948,-0.395340603,-1.50870262,-0.5652902,-0.443058995,-0.903242261,-1.128184139,-0.49425445,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-1.541001781,-0.401653847,-1.630048749
0.053497558,-0.448082361,0.0135017,0.030621393,-0.447306374,0.337767884,0.227148349,-0.516824391,-0.279998092,-0.547914082,-1.167869355,-0.880677719,-0.468591018,-0.825986673,-0.338738833,-0.462672978,-0.160102456,-0.490026638,-1.076345442,-0.614448448,-0.204427563,0.164211661,-0.173842912,-0.236196717,-0.017265746,-0.806521635,-1.50870262,-0.5652902,-0.443058995,-0.903242261,-1.103248824,-0.494312965,-0.542481013,-0.399872151,-0.981265646,-0.441208341,-0.752074276,-1.541001781,-0.811427206,-1.676293307
0.209584973,-0.391042509,0.187760401,0.197889644,-0.390736963,1.665314824,0.914090791,-0.497513025,-0.279998092,-0.667074524,-0.806387833,-0.172875477,-0.435262204,0.194122434,-0.338738833,-0.311983852,-0.160102456,-0.490026638,-1.076345442,1.232459779,-0.204427563,-0.327295863,-0.173842912,-0.236196717,0.936694205,-0.806521635,-0.162745826,-0.5652902,-0.443058995,1.200371186,0.183116344,-0.494162119,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-0.192264737,-0.811427206,-0.672014794
0.207022063,-0.394099505,0.184665544,0.19513274,-0.393769157,1.569561256,0.837893008,-0.486897033,-0.279998092,-0.667074524,-0.893713088,-0.264666041,-0.435262204,0.025313273,-0.338738833,-0.311983852,-0.160102456,-0.490026638,-1.076345442,1.230573364,-0.204427563,-0.279465177,-0.173842912,-0.236196717,0.878186172,-0.768664042,0.353737444,-0.5652902,-0.443058995,1.072325145,0.047200042,-0.494162119,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,0.325285397,-0.773699218,-0.282385792
0.207531367,-0.397780427,0.18480971,0.195680568,-0.397420152,1.464293371,0.753991207,-0.496200335,-0.279998092,-0.667074524,-0.910483565,-0.286334516,-0.435262204,-0.176873903,-0.338738833,-0.311983852,-0.160102456,-0.490026638,-1.076250627,0.830682416,-0.204427563,-0.410773288,-0.173842912,0.492309496,0.830487238,-0.264306329,-0.337511905,-0.5652902,-0.443058995,0.922197792,-0.018748532,-0.494162119,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-0.367391818,-0.271068167,-0.741433903
0.213102668,-0.401821899,0.190363713,0.201674167,-0.401428689,1.368646317,0.677498494,-0.516602919,-0.279998092,-0.667074524,-0.880291198,-0.231809432,-0.435262204,-0.026172037,-0.338738833,-0.295968455,-0.160102456,-0.490026638,-0.924221925,-0.560247752,-0.204427563,-0.45399475,-0.173842912,2.980324034,0.81018911,0.423999329,-1.231984381,-0.5652902,-0.443058995,0.735118314,0.026884469,-0.494162119,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-1.263711944,0.414881085,-1.33142768
0.212152196,-0.397780427,0.189784321,0.200651534,-0.397420152,1.480374405,0.766595885,-0.494614453,-0.279998092,-0.667074524,-0.862130321,-0.188003969,-0.435262204,0.173706863,-0.338738833,-0.295968455,-0.160102456,-0.490026638,-0.937278911,0.726378554,-0.204427563,-0.391204485,-0.173842912,1.948582634,0.86082111,0.599105791,-0.527886368,-0.5652902,-0.443058995,1.188166449,0.106906825,-0.494162119,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-0.558159524,0.589388072,-0.786374878
1.161504609,-0.076003405,1.248807963,1.245893554,-0.078004611,0.651375841,0.009516424,-0.501125704,-0.279998092,-0.667074524,-1.315638646,-0.089443477,-0.462813122,-0.711906635,-0.338738833,-0.129309213,-0.160102456,-0.490026638,-0.966042207,0.621906373,-0.204427563,-0.45399475,-0.173842912,2.114562087,0.638179172,-0.001323373,-0.798475048,0.420371016,-0.443058995,0.078602517,-0.545742098,-0.494224773,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.099592566,-0.829307141,-0.00898553,-0.67642798
1.157580247,-0.071273901,1.245119854,1.24147468,-0.073305975,0.777394661,0.11338683,-0.486740482,-0.279998092,-0.667074524,-1.32970794,-0.186950763,-0.462813122,-0.726390971,-0.338738833,-0.129309213,-0.160102456,-0.490026638,-0.670519325,0.3566068,-0.204427563,-0.41728139,-0.173842912,3.848417944,0.719941174,1.278961772,-0.751047047,-0.454575694,-0.443058995,-0.252118012,-0.629939172,-0.494224773,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.678784196,-0.781781171,1.266916574,-0.833810008
0.229041617,-0.058610654,0.245244943,0.218830339,-0.06072483,0.958567375,0.672317048,-0.523514066,-0.279998092,-0.667074524,-1.37413116,-0.858440768,-0.468591018,-0.70946992,-0.338738833,-0.462672978,-0.160102456,-0.490026638,-1.076345442,-0.614448448,-0.204427563,0.273470971,-0.173842912,-0.236196717,1.157375274,-0.806521635,-1.50870262,-0.5652902,-0.443058995,-0.903242261,-1.112896233,-0.494311576,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-1.541001781,-0.811427206,-1.676293307
0.225479503,-0.056494201,0.24163616,0.214995029,-0.058622021,0.895684278,0.703208184,-0.518067696,-0.279998092,-0.667074524,-1.37413116,-0.841986505,-0.468591018,-0.70946992,-0.338738833,-0.462672978,-0.160102456,-0.490026638,-1.076345442,-0.614448448,-0.204427563,0.627010709,-0.173842912,-0.236196717,1.105379222,-0.806521635,-1.50870262,-0.5652902,-0.443058995,-0.903242261,-1.101456975,-0.4943054,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-1.541001781,-0.811427206,-1.676293307
0.216337033,-0.062590827,0.231107212,0.205154447,-0.064679284,0.621122553,0.511166452,-0.506726752,-0.279998092,-0.667074524,-1.346973528,-0.421712554,-0.468591018,-0.70946992,-0.338738833,-0.462672978,-0.160102456,-0.490026638,-1.076345442,-0.614448448,-0.204427563,0.937555973,-0.173842912,-0.236196717,0.998817485,0.583275988,-1.50870262,-0.5652902,-0.443058995,-0.903242261,-0.769696556,-0.494278695,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-1.541001781,0.573612462,-1.519986056
0.219787022,-0.06587931,0.234466312,0.208867354,-0.067946458,0.679340975,0.467667468,-0.509835342,-0.279998092,-0.667074524,-1.363171619,-0.403194329,-0.468591018,-0.70946992,-0.338738833,-0.462672978,-0.160102456,-0.490026638,-1.076345442,-0.614448448,-0.204427563,1.507636399,-0.173842912,-0.236196717,1.054093745,1.117074536,-1.50870262,-0.5652902,-0.443058995,-0.903242261,-0.773657069,-0.494278695,-0.542481013,-0.399872151,-1.164855877,-0.47685753,-0.752074276,-1.541001781,1.105583557,-1.459950996
0.219053899,-0.53786904,0.181824867,0.208078309,-0.536319741,-0.545388575,-0.887756752,-0.377523405,-0.279998092,-0.021395428,0.281491882,-0.880677719,-0.468591018,0.206174295,-0.338738833,-0.241304216,-0.160102456,0.715016169,-0.015982532,-0.614448448,-0.204427563,0.98715279,-0.173842912,-0.236196717,-0.392853383,-0.459847349,-0.371458909,-0.5652902,-0.443058995,-0.903242261,-0.079603368,-0.491277292,-0.542481013,-0.399872151,-0.178460604,-0.47685753,-0.752074276,-0.401408944,-0.465939755,-0.788755315
0.209738929,-0.538201584,0.171767252,0.198055264,-0.536649346,-0.562705512,-0.811241529,-0.438903638,-0.279998092,-0.068571134,0.005711146,-0.880677719,-0.468591018,0.269392109,-0.338738833,-0.241304216,-0.160102456,-0.351693931,1.173066673,-0.614448448,-0.204427563,0.191923703,-0.173842912,-0.236196717,-0.51802998,-0.063507662,0.571499972,0.956317718,-0.443058995,-0.903242261,-0.374738438,-0.491277292,-0.368234515,-0.399872151,-0.178460604,-0.47685753,0.255190006,0.543497742,-0.070956932,0.545059992
0.2187089,-0.547106353,0.180438959,0.207707003,-0.54547522,-0.27794932,-0.878308718,-0.364637369,-0.279998092,-0.021395428,0.170371367,-0.880677719,-0.468591018,0.225797048,-0.338738833,-0.241304216,-0.160102456,0.659629728,0.656803437,-0.614448448,-0.204427563,-0.45399475,-0.173842912,0.209876952,-0.384927837,0.741356002,0.102494992,3.130029867,-0.443058995,-0.903242261,-0.197846535,-0.491277292,-0.542481013,-0.399872151,-0.178460604,-0.47685753,1.694130079,0.073523971,0.731151291,1.122282011
0.225781377,-0.549545004,0.187779231,0.215320029,-0.547892196,-0.275934419,-0.81719051,-0.367805718,-0.279998092,-0.021395428,0.224652172,-0.880677719,-0.468591018,0.000956936,-0.338738833,-0.241304216,-0.160102456,-0.369209092,1.508928744,-0.614448448,-0.204427563,-0.45399475,-0.173842912,-0.236196717,-0.284584652,-0.806521635,1.732346173,-0.043930027,-0.443058995,-0.903242261,-0.077915773,-0.491277292,-0.542481013,-0.399872151,-0.222888341,-0.47685753,-0.406947602,1.706741823,-0.811427206,0.94266589
