Site,Near,Distance
1,2,164.05486887000
2,1,164.05486887000
4,5,101.86758623400
4,6,188.47115200000
4,8,191.82682720700
5,4,101.86758623400
5,6,100.31859120300
5,8,155.16386577100
6,4,188.47115200000
6,5,100.31859120300
6,7,169.27439777200
6,8,107.15000000000
7,6,169.27439777200
7,8,111.57744951800
8,4,191.82682720700
8,5,155.16386577100
8,6,107.15000000000
8,7,111.57744951800
9,10,157.05094714800
10,9,157.05094714800
11,12,100.51745321100
12,11,100.51745321100
13,14,119.67038062900
14,13,119.67038062900
15,16,216.18741869000
15,19,220.83930809500
16,15,216.18741869000
17,18,176.78235206000
17,19,198.60010070500
18,17,176.78235206000
18,19,167.14664220400
18,20,126.08727136400
18,26,185.35350992400
19,15,220.83930809500
19,17,198.60010070500
19,18,167.14664220400
19,26,142.06030283300
20,18,126.08727136400
20,21,238.73835050100
21,20,238.73835050100
21,22,202.33882474700
21,26,220.11717252600
22,21,202.33882474700
23,24,210.77001684300
24,23,210.77001684300
25,27,101.15716041900
25,28,174.74839055100
26,18,185.35350992400
26,19,142.06030283300
26,21,220.11717252600
27,25,101.15716041900
27,28,208.96783270100
28,25,174.74839055100
28,27,208.96783270100
28,29,127.53430910900
29,28,127.53430910900
29,32,245.54429335700
30,32,228.39658491300
32,29,245.54429335700
32,30,228.39658491300
33,37,166.60638757200
34,53,240.45247854900
35,38,152.26788482400
35,50,245.82925060500
35,52,161.57523230500
35,53,165.01034771500
35,54,127.89978166500
35,55,182.95644943400
35,56,149.39768404200
36,49,182.26700498700
36,59,235.71459830800
37,33,166.60638757200
37,54,243.94831795300
37,55,235.40910953100
37,59,242.85715929200
38,35,152.26788482400
38,39,194.48782951400
38,41,211.81372866700
38,42,150.81422741100
38,54,247.72367559500
38,55,242.14370623900
38,56,134.34519773300
39,38,194.48782951400
39,40,183.93995753000
39,42,225.21499998300
39,47,209.20561294800
39,56,208.46019662200
39,57,229.69961071300
40,39,183.93995753000
40,45,223.30458495000
40,46,241.03793166200
40,47,237.66749386400
41,38,211.81372866700
41,42,174.29955863500
41,43,233.82198118100
42,38,150.81422741100
42,39,225.21499998300
42,41,174.29955863500
42,43,165.48961197100
43,41,233.82198118100
43,42,165.48961197100
43,44,245.14052022500
44,43,245.14052022500
44,45,227.73157082200
45,40,223.30458495000
45,44,227.73157082200
45,46,190.82045560200
46,40,241.03793166200
46,45,190.82045560200
46,47,236.55768825000
47,39,209.20561294800
47,40,237.66749386400
47,46,236.55768825000
48,60,205.95259033500
48,61,129.04476588100
49,36,182.26700498700
49,60,223.11608198300
50,35,245.82925060500
50,51,124.43885065500
50,52,129.01382873700
50,53,229.38521096500
51,50,124.43885065500
51,52,100.80245098700
51,53,162.13279763100
52,35,161.57523230500
52,50,129.01382873700
52,51,100.80245098700
52,53,101.05930022000
52,54,179.00948333200
53,34,240.45247854900
53,35,165.01034771500
53,50,229.38521096500
53,51,162.13279763100
53,52,101.05930022000
53,54,104.65975446800
53,55,203.59779934000
54,35,127.89978166500
54,37,243.94831795300
54,38,247.72367559500
54,52,179.00948333200
54,53,104.65975446800
54,55,100.80543341500
54,56,162.35551943200
54,57,232.83776345400
55,35,182.95644943400
55,37,235.40910953100
55,38,242.14370623900
55,53,203.59779934000
55,54,100.80543341500
55,56,115.75698275300
55,57,134.61491394300
55,58,183.31913596800
56,35,149.39768404200
56,38,134.34519773300
56,39,208.46019662200
56,54,162.35551943200
56,55,115.75698275300
56,57,137.17871555000
56,58,243.01440372100
57,39,229.69961071300
57,54,232.83776345400
57,55,134.61491394300
57,56,137.17871555000
57,58,119.26750863500
58,55,183.31913596800
58,56,243.01440372100
58,57,119.26750863500
58,59,159.59051276500
58,60,183.06599634000
58,61,209.14953122700
59,36,235.71459830800
59,37,242.85715929200
59,58,159.59051276500
59,60,124.76165467400
59,61,235.76668797000
60,48,205.95259033500
60,49,223.11608198300
60,58,183.06599634000
60,59,124.76165467400
60,61,124.38961377100
61,48,129.04476588100
61,58,209.14953122700
61,59,235.76668797000
61,60,124.38961377100
62,67,101.23913239500
63,64,126.81991061400
64,63,126.81991061400
64,65,181.72489504400
65,64,181.72489504400
67,62,101.23913239500
68,70,100.46040804200
69,357,173.13609714900
69,358,231.24445939300
69,359,137.62557474900
70,68,100.46040804200
73,74,135.28118864100
74,73,135.28118864100
76,77,249.15858403800
76,83,211.12318678900
76,87,126.49110640700
77,76,249.15858403800
77,78,224.72205054200
78,77,224.72205054200
83,76,211.12318678900
83,87,174.39323381400
87,76,126.49110640700
87,83,174.39323381400
87,88,239.75404063300
88,87,239.75404063300
89,90,126.64912159200
90,89,126.64912159200
91,92,136.93794214900
92,91,136.93794214900
93,94,244.46063077700
94,93,244.46063077700
94,95,220.56518310900
95,94,220.56518310900
95,96,171.16366436800
95,97,204.92437629500
96,95,171.16366436800
97,95,204.92437629500
97,98,221.63257883300
98,97,221.63257883300
100,101,223.30472453600
