Name,Site,Nbrs,Start
ANA-B01,1,1,1
ANA-B02,2,1,2
ARB-B01,3,0,3
BRA-B01,4,4,3
BRA-B02,5,4,7
BRA-B03,6,4,11
BRA-B04,7,3,15
BRA-B05,8,4,18
CAB-B01,9,2,22
CAB-B02,10,1,24
CHE-B01,11,2,25
CHM-B01,12,3,27
CHW-B01,13,2,30
CHW-B02,14,3,32
COA-B01,15,3,35
COA-B02,16,1,38
COA-B03,17,4,39
COA-B04,18,5,43
COA-B05,19,5,48
COA-B06,20,5,53
COA-B07,21,4,58
COA-B08,22,1,62
COA-B09,23,1,63
COA-B10,24,1,64
COA-B11,25,3,65
COA-B12,26,4,68
COA-B14,27,3,72
COA-B15,28,3,75
COA-B16,29,5,78
COA-B17,30,3,83
COA-B18,31,1,86
COA-B20,32,2,87
DAR-B01,33,2,89
DAR-B02,34,4,91
DAR-B03,35,11,95
DAR-B04,36,3,106
DAR-B05,37,7,109
DAR-B06,38,8,116
DAR-B07,39,6,124
DAR-B08,40,6,130
DAR-B09,41,4,136
DAR-B10,42,7,140
DAR-B11,43,3,147
DAR-B12,44,3,150
DAR-B13,45,3,153
DAR-B14,46,3,156
DAR-B15,47,3,159
DAR-B16,48,3,162
DAR-B17,49,4,165
DAR-B18,50,4,169
DAR-B19,51,6,173
DAR-B20,52,8,179
DAR-B21,53,9,187
DAR-B22,54,10,196
DAR-B23,55,9,206
DAR-B24,56,10,215
DAR-B25,57,10,225
DAR-B26,58,8,235
DAR-B27,59,8,243
DAR-B28,60,7,251
DAR-B29,61,5,258
DEC-P01,62,1,263
DEC-P02,63,2,264
DEC-P03,64,2,266
DEC-P04,65,1,268
DEC-P05,66,1,269
DEC-R01,67,1,270
DNO-B01,68,1,271
DOM-B01,69,3,272
DSO-B01,70,1,275
DWE-B01,71,0,276
FLH-B01,72,1,276
FLS-B01,73,2,277
FSE-B01,74,1,279
GAL-B01,75,0,280
GAL-B02,76,3,280
GAL-B03,77,2,283
GAL-B04,78,2,285
GAL-B05,79,1,287
GAL-B06,80,0,288
GAL-B07,81,1,288
GAL-B08,82,1,289
GAL-B09,83,3,290
GAL-B10,84,2,293
GAL-B11,85,1,295
GAL-B12,86,0,296
GAL-B13,87,3,296
GAL-B14,88,1,299
GAL-B15,89,1,300
GAL-B16,90,1,301
GAL-B17,91,1,302
GAL-B18,92,1,303
GAL-B19,93,1,304
GAL-B20,94,5,305
GAL-B21,95,3,310
GAL-B22,96,2,313
GAL-B23,97,4,315
GAL-B24,98,2,319
GAL-B25,99,1,321
GAL-B26,100,1,322
GAL-B27,101,1,323
GAL-B28,102,2,324
GAL-B29,103,2,326
GAL-B30,104,1,328
GAL-B31,105,1,329
GEO-B01,106,1,330
GEO-B02,107,2,331
GEO-B03,108,1,333
HAL-B01,109,1,334
HAL-B02,110,1,335
HOR-B01,111,1,336
HOR-B02,112,2,337
HOR-B03,113,1,339
