Site,Repeats,Start,Max
1,3,1,0
2,3,4,0
3,1,7,0
4,4,8,1
5,4,12,0
6,4,16,0
7,5,20,0
8,6,25,0
9,3,31,0
10,3,34,0
11,3,37,0
12,3,40,0
13,3,43,0
14,3,46,0
15,1,49,0
16,1,50,0
17,1,51,0
18,1,52,0
19,1,53,1
20,1,54,1
21,1,55,0
22,1,56,0
23,1,57,0
24,1,58,1
25,1,59,0
26,2,60,0
27,1,62,0
28,1,63,0
29,1,64,0
30,1,65,0
31,2,66,0
32,1,68,0
33,2,69,0
34,2,71,1
35,3,73,1
36,5,76,0
37,3,81,0
38,3,84,1
39,3,87,1
40,3,90,0
41,6,93,1
42,3,99,1
43,5,102,0
44,6,107,0
45,5,113,0
46,5,118,0
47,5,123,1
48,5,128,0
49,5,133,0
50,6,138,1
51,4,144,0
52,4,148,0
53,4,152,0
54,4,156,1
55,4,160,0
56,1,164,0
57,6,165,1
58,4,171,0
59,6,175,0
60,1,181,1
61,3,182,0
62,3,185,0
63,3,188,0
64,3,191,0
65,2,194,1
66,2,196,0
67,3,198,0
68,9,201,0
69,1,210,1
70,9,211,0
71,1,220,0
72,1,221,0
73,1,222,0
74,1,223,0
75,1,224,0
76,1,225,0
77,3,226,0
78,1,229,0
79,3,230,0
80,1,233,0
81,3,234,0
82,1,237,0
83,3,238,1
84,1,241,0
85,3,242,0
86,1,245,0
87,1,246,0
88,1,247,0
89,1,248,0
90,1,249,0
91,1,250,0
92,1,251,0
93,1,252,0
94,3,253,1
95,3,256,1
96,3,259,1
97,3,262,1
98,1,265,1
99,3,266,0
100,3,269,1
101,3,272,1
102,1,275,0
103,3,276,0
104,3,279,1
105,3,282,1
106,3,285,0
107,3,288,1
108,3,291,0
109,1,294,0
110,1,295,0
111,3,296,1
112,3,299,0
113,3,302,0
114,3,305,0
115,3,308,0
116,3,311,0
117,3,314,1
118,3,317,0
119,3,320,1
120,3,323,0
121,3,326,0
122,3,329,0
123,3,332,0
124,3,335,1
125,3,338,0
126,7,341,0
127,2,348,0
128,2,350,0
129,4,352,1
130,4,356,1
131,3,360,1
132,3,363,0
133,3,366,1
134,3,369,1
135,2,372,1
136,3,374,0
137,3,377,1
138,2,380,0
139,11,382,0
140,4,393,0
141,3,397,0
142,3,400,0
143,1,403,0
144,3,404,1
145,3,407,0
146,3,410,1
147,3,413,1
148,1,416,0
149,1,417,0
150,3,418,0
151,1,421,0
152,1,422,0
153,1,423,0
154,1,424,0
155,3,425,1
156,1,428,0
157,1,429,0
158,1,430,0
159,3,431,1
160,1,434,1
161,1,435,0
162,4,436,0
163,1,440,0
164,2,441,1
165,3,443,1
166,1,446,1
167,3,447,1
168,1,450,1
169,1,451,0
170,3,452,1
171,1,455,0
172,1,456,0
173,1,457,0
174,1,458,0
175,1,459,0
176,1,460,0
177,1,461,0
178,1,462,0
179,1,463,0
180,1,464,0
181,1,465,1
182,1,466,0
183,1,467,0
184,1,468,1
