Index,Location,UTM_E,UTM_N
1,ANA-B01,486667,5407817
2,ANA-B02,486550,5407932
3,ARB-B01,467956,5394876
4,BRA-B01,471575.43,5396419.735
5,BRA-B02,471516,5396337
6,BRA-B03,471527.81,5396237.379
7,BRA-B04,471657,5396128
8,BRA-B05,471634.96,5396237.379
9,CAB-B01,493649,5404946
10,CAB-B02,493558,5405074
11,CHE-B01,472026.6,5405416.72
12,CHM-B01,471944,5405474
13,CHW-B01,471732,5405309
14,CHW-B02,471812,5405220
15,COA-B01,471795,5392446
16,COA-B02,471579,5392437
17,COA-B03,471787,5392196
18,COA-B04,471951,5392130
19,COA-B05,471958,5392297
20,COA-B06,471998,5392013
21,COA-B07,472228,5392077
22,COA-B08,472423,5392131
23,COA-B09,472700,5392287
24,COA-B10,472718,5392497
25,COA-B11,472334,5392715
26,COA-B12,472092.12,5392250.171
27,COA-B14,472255.62,5392651.052
28,COA-B15,472235,5392859
29,COA-B16,472119,5392912
30,COA-B17,471860,5393042
31,COA-B18,471601,5393102
32,COA-B20,471893,5392816
33,DAR-B01,479276.9614,5379748.408
34,DAR-B02,479579.4489,5379756.567
35,DAR-B03,479641.9372,5379356.172
36,DAR-B04,478988.8511,5379638.307
37,DAR-B05,479371.1303,5379610.967
38,DAR-B06,479615.5736,5379206.203
39,DAR-B07,479463.8868,5379084.48
40,DAR-B08,479492.7377,5378902.817
41,DAR-B09,479826,5379182
42,DAR-B10,479688.8762,5379074.402
43,DAR-B11,479797.8723,5378949.876
44,DAR-B12,479693.778,5378727.934
45,DAR-B13,479471.0263,5378680.57
46,DAR-B14,479297.926,5378760.874
47,DAR-B15,479274.2014,5378996.239
48,DAR-B16,478990.9067,5379201.081
49,DAR-B17,478899.7269,5379479.316
50,DAR-B18,479850.0023,5379487.095
51,DAR-B19,479771.99,5379584.044
52,DAR-B20,479721.36,5379496.879
53,DAR-B21,479623.0028,5379520.092
54,DAR-B22,479550.0051,5379445.092
55,DAR-B23,479462.98,5379394.216
56,DAR-B24,479509,5379288
57,DAR-B25,479372,5379295
58,DAR-B26,479281.0003,5379372.096
59,DAR-B27,479165.3215,5379482.039
60,DAR-B28,479098,5379377
61,DAR-B29,479109.0032,5379253.098
62,DEC-P01,445005.9898,5440092.992
63,DEC-P02,446866.0376,5438597.055
64,DEC-P03,446907.0099,5438477.036
65,DEC-P04,447036.0286,5438349.059
66,DEC-P05,446600,5438493
67,DEC-R01,444917.17,5440141.576
68,DNO-B01,473678.78,5391025.928
69,DOM-B01,476834,5390402
70,DSO-B01,473634,5390936
71,DWE-B01,473240,5391043
72,FLH-B01,476167,5389170
73,FLS-B01,475960,5389337
74,FSE-B01,475859,5389427
75,GAL-B01,473412,5417014
76,GAL-B02,464103,5421220
77,GAL-B03,464351,5421244
78,GAL-B04,464575,5421262
79,GAL-B05,464851,5421229
80,GAL-B06,465161,5421224
81,GAL-B07,465461,5421166
82,GAL-B08,465753,5421177
83,GAL-B09,463900,5421278
84,GAL-B10,463715,5421489
85,GAL-B11,463496,5421691
86,GAL-B12,463230,5421831
87,GAL-B13,464063,5421340
88,GAL-B14,464082,5421579
89,GAL-B15,474278,5414562
90,GAL-B16,474324,5414444
91,GAL-B17,474265,5414132
92,GAL-B18,474281,5413996
93,GAL-B19,470437,5416180
94,GAL-B20,470206,5416100
95,GAL-B21,470299,5415900
96,GAL-B22,470348,5415736
97,GAL-B23,470104,5415837
98,GAL-B24,469968,5416012
99,GAL-B25,470150,5416349
100,GAL-B26,474926,5413523
101,GAL-B27,475122,5413630
102,GAL-B28,475257,5412736
103,GAL-B29,475084,5412800
104,GAL-B30,474972,5412968
105,GAL-B31,475451,5412666
106,GEO-B01,482834,5409982
107,GEO-B02,482646,5410066
108,GEO-B03,482476,5410184
109,HAL-B01,479689,5385419
110,HAL-B02,479826,5385323
111,HOR-B01,384083.2559,5486722.442
112,HOR-B02,384216.4891,5486590.04
113,HOR-B03,384358.4094,5486481.147
114,HOR-B04,381421.3138,5487318.352
115,HOR-B05,381579.7567,5487413.337
116,HOR-B06,381748.368,5487530.127
117,HOR-B07,379414.9378,5486686.817
118,HOR-B08,379456.6151,5486849.17
119,HOR-B09,379382.1377,5487108.854
120,HOR-B10,378725.6227,5485697.659
121,HOR-B11,378532.3329,5485808.291
122,HOR-B12,378130.4532,5485807.361
123,HOR-B13,377042.6722,5485693.979
124,HOR-B14,377188.433,5485528.863
125,HOR-B15,377395.9148,5485380.048
126,IMR-B01,475487,5393552
127,ISE-B01,468328.73,5397424.506
128,ISW-B01,468235.53,5397387.226
129,LDA-B01,480138.83,5379870.037
130,LDA-B02,480225,5379718
131,LDA-B03,480404.5113,5379775.87
132,LDA-B04,480456.679,5379573.752
133,LIN-P01,444609.2804,5440293.957
134,LIN-P02,444488.9692,5440544.978
135,LIN-P03,444249.9687,5440763.067
136,LIN-R01,444517.4929,5440420.173
137,LIN-R02,444361.4754,5440646.764
138,LIN-R03,444173.6059,5440904.81
139,LSH-B01,472199,5390857
140,MAN-B01,478850,5386776
141,MAN-B02,478628,5386911
142,MAN-B03,479031,5386675
143,MAN-B04,478709.91,5386851.846
144,MAY-B01,481521,5410470
145,MAY-B02,481576,5410672
146,MAY-B03,481843,5410515
147,MAY-B04,482047,5410443
148,MAY-B05,481408,5410362
149,MAY-B06,479978,5409963
150,MAY-B07,480055,5409762
151,MAY-B08,480175,5409674
152,MAY-B09,480285,5409507
153,MAY-B10,480417,5409342
154,MAY-B11,480638,5409238
155,MAY-B12,480836,5409123
156,MAY-B13,480969,5408947
157,MAY-B14,481007,5408742
158,MAY-B15,481105.16,5408717.437
159,MAY-B16,481202.68,5408692.407
160,MAY-B17,481065,5408554
161,MAY-B18,481158,5408416
162,MAY-B19,479430.96,5410046.112
163,MAY-B21,479327,5409988
164,MAY-B22,479229.61,5409959.984
165,MAY-B23,479039,5409940
166,MAY-B24,478855,5410018
167,MAY-B25,478989,5410158
168,MAY-B26,479121,5410209
169,MAY-B27,479201,5410096
170,MAY-B29,479252,5409847
171,MAY-B30,479383,5409832
172,MOR-B01,477737,5394335
173,MOR-B02,477636.52,5394342.409
174,MOR-B03,477535,5394467
175,MOR-B04,477566,5394644
176,MOR-B05,477465,5394660
177,MOR-B06,477299,5394726
178,MOR-B07,477116,5394731
179,MOR-B08,477147,5394873
180,MOR-B09,477293,5394953
181,MOR-B10,477372,5394806
182,MOR-B11,477888,5396455
183,MOR-B12,477819.33,5396529.948
184,MOR-B13,477736,5396607
185,MOR-B14,477679,5396456
186,MOR-B15,477532,5396574
187,MOR-B16,477427,5396639
188,MOR-B17,477268,5396792
189,MOR-B18,477740,5396374
190,MOR-B19,477639,5396345
191,MOR-B20,477493,5396244
192,MOR-B21,475947,5396886
193,MOR-B22,476134,5396952
194,MOR-B23,476371,5396888
195,MOR-B24,476538,5396680
196,MOR-B25,476544,5396543
197,MOR-B26,476581,5396375
198,MOR-B27,476729,5396607
199,MOR-B28,476393,5396399
200,MOR-B29,476296,5396553
201,MOR-B30,476232,5396685
202,MUS-B01,470749,5392397
203,OWL-B01,470582.36,5408279.655
204,OWL-B02,470662,5408218
205,PIE-B01,469337.24,5395052.599
206,PIE-B02,469482.38,5394788.597
207,PIE-B03,469513.76,5395214.198
208,PIE-B04,469267.23,5394765.771
209,PIE-B05,469099.4265,5394796.215
210,PIE-B06,468855.97,5394782.242
211,PIE-B07,468900,5394929
212,PIE-B08,469221.2,5394856.495
213,PIE-B09,469141,5394574
214,PIE-B10,469081.47,5394677.281
215,PIE-B11,468845,5394628
216,PIE-B12,468990.24,5394571.763
217,PIE-B13,469076.21,5394392.988
218,PIE-B14,469177,5394390
219,PIE-B15,469519.0028,5394364.097
220,PIE-B16,469679.0021,5394545.09
221,PIE-B17,469606,5394801
222,PIE-B19,469029.94,5395059.769
223,PIE-B20,468939,5394482
224,PIE-B21,469213.83,5394490.896
225,PIE-B23,469082.73,5394913.019
226,PIE-B26,469454.67,5394910.37
227,PIE-B27,469478.5828,5395015.202
228,PIE-B28,469318.51,5394493.56
229,PIE-B29,469423,5394527
230,PIE-B30,469888.5242,5394521.488
231,PIE-B31,469746.6174,5394749.375
232,PIE-B33,469337.3606,5395155.427
233,PIE-B34,469318,5394368
